BlockPath,BlockType,LibraryLink,Parameter,Value
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","OpenAtSimulationStart","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DisplayFullPath","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","NumInputPorts","3"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","LayoutDimensionsString","[3 1]"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","SampleTime","-1"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","FrameBasedProcessingString","Elements as channels (sample based)"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","MaximizeAxes","Off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","AxesScaling","Manual"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","AxesScalingNumUpdates","10"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","TimeSpan","Auto"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","TimeSpanOverrunAction","Wrap"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","TimeUnits","None"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","TimeDisplayOffset","0"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","TimeAxisLabels","Bottom displays only"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ShowTimeAxisLabel","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ActiveDisplayString","1"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","Title","%<SignalLabel>"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ShowLegend","on"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ShowGrid","on"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","PlotAsMagnitudePhase","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ActiveDisplayYMinimum","-124.7577"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","ActiveDisplayYMaximum","64.701"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingLimitDataPoints","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingMaxPoints","5000"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingDecimateData","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingDecimation","2"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLogging","off"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingVariableName","ScopeData2"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise PrimCurr","Scope","","DataLoggingSaveFormat","Dataset"
"TransformerWithCTSaturationz_DISCONNECTED/Before Noise SecCurr","Scope","","OpenAtSimulationStart","off"
